GEOID,NAME,variable,estimate,moe,year
06081611700,"Census Tract 6117, San Mateo County, California",B19126_001,64526,10659,2018
06081611800,"Census Tract 6118, San Mateo County, California",B19126_001,64239,10651,2018
06081611900,"Census Tract 6119, San Mateo County, California",B19126_001,100763,12799,2018
06081612000,"Census Tract 6120, San Mateo County, California",B19126_001,70064,8997,2018
06081612100,"Census Tract 6121, San Mateo County, California",B19126_001,56529,9339,2018
06081613900,"Census Tract 6139, San Mateo County, California",B19126_001,227847,47486,2018
06081611700,"Census Tract 6117, San Mateo County, California",B19126_001,70938,18188,2019
06081611800,"Census Tract 6118, San Mateo County, California",B19126_001,64884,20293,2019
06081611900,"Census Tract 6119, San Mateo County, California",B19126_001,102178,29349,2019
06081612000,"Census Tract 6120, San Mateo County, California",B19126_001,72215,15952,2019
06081612100,"Census Tract 6121, San Mateo County, California",B19126_001,50604,10589,2019
06081613900,"Census Tract 6139, San Mateo County, California",B19126_001,250001,NA,2019
06081611700,"Census Tract 6117, San Mateo County, California",B19126_001,87321,35895,2020
06081611800,"Census Tract 6118, San Mateo County, California",B19126_001,79444,21623,2020
06081611901,"Census Tract 6119.01, San Mateo County, California",B19126_001,116111,36170,2020
06081611902,"Census Tract 6119.02, San Mateo County, California",B19126_001,140089,54308,2020
06081612001,"Census Tract 6120.01, San Mateo County, California",B19126_001,87151,25925,2020
06081612002,"Census Tract 6120.02, San Mateo County, California",B19126_001,83750,26746,2020
06081612101,"Census Tract 6121.01, San Mateo County, California",B19126_001,46106,13939,2020
06081612102,"Census Tract 6121.02, San Mateo County, California",B19126_001,45972,24789,2020
06081613900,"Census Tract 6139, San Mateo County, California",B19126_001,250001,NA,2020
06081611700,"Census Tract 6117, San Mateo County, California",B19126_001,106875,45070,2021
06081611800,"Census Tract 6118, San Mateo County, California",B19126_001,105145,15727,2021
06081611901,"Census Tract 6119.01, San Mateo County, California",B19126_001,102357,22732,2021
06081611902,"Census Tract 6119.02, San Mateo County, California",B19126_001,141223,73334,2021
06081612001,"Census Tract 6120.01, San Mateo County, California",B19126_001,109886,19733,2021
06081612002,"Census Tract 6120.02, San Mateo County, California",B19126_001,83207,20723,2021
06081612101,"Census Tract 6121.01, San Mateo County, California",B19126_001,64265,32938,2021
06081612102,"Census Tract 6121.02, San Mateo County, California",B19126_001,68906,35956,2021
06081613900,"Census Tract 6139, San Mateo County, California",B19126_001,250001,NA,2021
06081611700,Census Tract 6117; San Mateo County; California,B19126_001,109565,53250,2022
06081611800,Census Tract 6118; San Mateo County; California,B19126_001,115784,12563,2022
06081611901,Census Tract 6119.01; San Mateo County; California,B19126_001,113299,43225,2022
06081611902,Census Tract 6119.02; San Mateo County; California,B19126_001,153892,67429,2022
06081612001,Census Tract 6120.01; San Mateo County; California,B19126_001,110833,18183,2022
06081612002,Census Tract 6120.02; San Mateo County; California,B19126_001,67463,51018,2022
06081612101,Census Tract 6121.01; San Mateo County; California,B19126_001,102670,68153,2022
06081612102,Census Tract 6121.02; San Mateo County; California,B19126_001,73185,32648,2022
06081613900,Census Tract 6139; San Mateo County; California,B19126_001,250001,NA,2022
