GEOID,NAME,variable,estimate,moe,year
06081611700,"Census Tract 6117, San Mateo County, California",B11013_001,178,57,2018
06081611800,"Census Tract 6118, San Mateo County, California",B11013_001,189,56,2018
06081611900,"Census Tract 6119, San Mateo County, California",B11013_001,225,104,2018
06081612000,"Census Tract 6120, San Mateo County, California",B11013_001,296,105,2018
06081612100,"Census Tract 6121, San Mateo County, California",B11013_001,87,83,2018
06081613900,"Census Tract 6139, San Mateo County, California",B11013_001,0,17,2018
06081611700,"Census Tract 6117, San Mateo County, California",B11013_001,211,79,2019
06081611800,"Census Tract 6118, San Mateo County, California",B11013_001,226,63,2019
06081611900,"Census Tract 6119, San Mateo County, California",B11013_001,250,145,2019
06081612000,"Census Tract 6120, San Mateo County, California",B11013_001,341,116,2019
06081612100,"Census Tract 6121, San Mateo County, California",B11013_001,75,81,2019
06081613900,"Census Tract 6139, San Mateo County, California",B11013_001,0,17,2019
06081611700,"Census Tract 6117, San Mateo County, California",B11013_001,205,65,2020
06081611800,"Census Tract 6118, San Mateo County, California",B11013_001,231,85,2020
06081611901,"Census Tract 6119.01, San Mateo County, California",B11013_001,182,133,2020
06081611902,"Census Tract 6119.02, San Mateo County, California",B11013_001,170,101,2020
06081612001,"Census Tract 6120.01, San Mateo County, California",B11013_001,156,72,2020
06081612002,"Census Tract 6120.02, San Mateo County, California",B11013_001,257,164,2020
06081612101,"Census Tract 6121.01, San Mateo County, California",B11013_001,0,13,2020
06081612102,"Census Tract 6121.02, San Mateo County, California",B11013_001,24,40,2020
06081613900,"Census Tract 6139, San Mateo County, California",B11013_001,0,19,2020
06081611700,"Census Tract 6117, San Mateo County, California",B11013_001,175,66,2021
06081611800,"Census Tract 6118, San Mateo County, California",B11013_001,288,112,2021
06081611901,"Census Tract 6119.01, San Mateo County, California",B11013_001,119,74,2021
06081611902,"Census Tract 6119.02, San Mateo County, California",B11013_001,134,106,2021
06081612001,"Census Tract 6120.01, San Mateo County, California",B11013_001,153,85,2021
06081612002,"Census Tract 6120.02, San Mateo County, California",B11013_001,224,169,2021
06081612101,"Census Tract 6121.01, San Mateo County, California",B11013_001,0,13,2021
06081612102,"Census Tract 6121.02, San Mateo County, California",B11013_001,19,37,2021
06081613900,"Census Tract 6139, San Mateo County, California",B11013_001,0,19,2021
06081611700,Census Tract 6117; San Mateo County; California,B11013_001,193,76,2022
06081611800,Census Tract 6118; San Mateo County; California,B11013_001,237,98,2022
06081611901,Census Tract 6119.01; San Mateo County; California,B11013_001,128,90,2022
06081611902,Census Tract 6119.02; San Mateo County; California,B11013_001,215,134,2022
06081612001,Census Tract 6120.01; San Mateo County; California,B11013_001,188,96,2022
06081612002,Census Tract 6120.02; San Mateo County; California,B11013_001,172,162,2022
06081612101,Census Tract 6121.01; San Mateo County; California,B11013_001,11,18,2022
06081612102,Census Tract 6121.02; San Mateo County; California,B11013_001,63,97,2022
06081613900,Census Tract 6139; San Mateo County; California,B11013_001,0,19,2022
