GEOID,NAME,variable,estimate,moe,year
06081611700,"Census Tract 6117, San Mateo County, California",B07003_001,5383,412,2018
06081611800,"Census Tract 6118, San Mateo County, California",B07003_001,4282,398,2018
06081611900,"Census Tract 6119, San Mateo County, California",B07003_001,10210,732,2018
06081612000,"Census Tract 6120, San Mateo County, California",B07003_001,7015,664,2018
06081612100,"Census Tract 6121, San Mateo County, California",B07003_001,8492,800,2018
06081613900,"Census Tract 6139, San Mateo County, California",B07003_001,6845,584,2018
06081611700,"Census Tract 6117, San Mateo County, California",B07003_001,5757,516,2019
06081611800,"Census Tract 6118, San Mateo County, California",B07003_001,4423,478,2019
06081611900,"Census Tract 6119, San Mateo County, California",B07003_001,10196,823,2019
06081612000,"Census Tract 6120, San Mateo County, California",B07003_001,6987,672,2019
06081612100,"Census Tract 6121, San Mateo County, California",B07003_001,8409,762,2019
06081613900,"Census Tract 6139, San Mateo County, California",B07003_001,6977,654,2019
06081611700,"Census Tract 6117, San Mateo County, California",B07003_001,5786,817,2020
06081611800,"Census Tract 6118, San Mateo County, California",B07003_001,4298,764,2020
06081611901,"Census Tract 6119.01, San Mateo County, California",B07003_001,3744,642,2020
06081611902,"Census Tract 6119.02, San Mateo County, California",B07003_001,6651,1183,2020
06081612001,"Census Tract 6120.01, San Mateo County, California",B07003_001,3572,520,2020
06081612002,"Census Tract 6120.02, San Mateo County, California",B07003_001,3218,858,2020
06081612101,"Census Tract 6121.01, San Mateo County, California",B07003_001,4069,664,2020
06081612102,"Census Tract 6121.02, San Mateo County, California",B07003_001,4156,896,2020
06081613900,"Census Tract 6139, San Mateo County, California",B07003_001,6940,670,2020
06081611700,"Census Tract 6117, San Mateo County, California",B07003_001,5643,788,2021
06081611800,"Census Tract 6118, San Mateo County, California",B07003_001,4913,749,2021
06081611901,"Census Tract 6119.01, San Mateo County, California",B07003_001,4463,778,2021
06081611902,"Census Tract 6119.02, San Mateo County, California",B07003_001,6448,1238,2021
06081612001,"Census Tract 6120.01, San Mateo County, California",B07003_001,4028,686,2021
06081612002,"Census Tract 6120.02, San Mateo County, California",B07003_001,3216,902,2021
06081612101,"Census Tract 6121.01, San Mateo County, California",B07003_001,3462,847,2021
06081612102,"Census Tract 6121.02, San Mateo County, California",B07003_001,3726,821,2021
06081613900,"Census Tract 6139, San Mateo County, California",B07003_001,6584,719,2021
06081611700,Census Tract 6117; San Mateo County; California,B07003_001,5562,818,2022
06081611800,Census Tract 6118; San Mateo County; California,B07003_001,4543,752,2022
06081611901,Census Tract 6119.01; San Mateo County; California,B07003_001,4229,730,2022
06081611902,Census Tract 6119.02; San Mateo County; California,B07003_001,7177,1091,2022
06081612001,Census Tract 6120.01; San Mateo County; California,B07003_001,3985,685,2022
06081612002,Census Tract 6120.02; San Mateo County; California,B07003_001,2941,902,2022
06081612101,Census Tract 6121.01; San Mateo County; California,B07003_001,3411,748,2022
06081612102,Census Tract 6121.02; San Mateo County; California,B07003_001,3870,777,2022
06081613900,Census Tract 6139; San Mateo County; California,B07003_001,6216,708,2022
