GEOID,NAME,variable,estimate,moe,year
06081611700,"Census Tract 6117, San Mateo County, California",B25107_001,750800,102176,2018
06081611800,"Census Tract 6118, San Mateo County, California",B25107_001,675200,45168,2018
06081611900,"Census Tract 6119, San Mateo County, California",B25107_001,758300,83054,2018
06081612000,"Census Tract 6120, San Mateo County, California",B25107_001,676200,102836,2018
06081612100,"Census Tract 6121, San Mateo County, California",B25107_001,1225000,531290,2018
06081613900,"Census Tract 6139, San Mateo County, California",B25107_001,2000001,NA,2018
06081611700,"Census Tract 6117, San Mateo County, California",B25107_001,875000,76371,2019
06081611800,"Census Tract 6118, San Mateo County, California",B25107_001,777200,60814,2019
06081611900,"Census Tract 6119, San Mateo County, California",B25107_001,849000,58890,2019
06081612000,"Census Tract 6120, San Mateo County, California",B25107_001,833300,43192,2019
06081612100,"Census Tract 6121, San Mateo County, California",B25107_001,1208300,547718,2019
06081613900,"Census Tract 6139, San Mateo County, California",B25107_001,2000001,NA,2019
06081611700,"Census Tract 6117, San Mateo County, California",B25107_001,968200,94002,2020
06081611800,"Census Tract 6118, San Mateo County, California",B25107_001,852000,39999,2020
06081611901,"Census Tract 6119.01, San Mateo County, California",B25107_001,1105400,98872,2020
06081611902,"Census Tract 6119.02, San Mateo County, California",B25107_001,1053800,104632,2020
06081612001,"Census Tract 6120.01, San Mateo County, California",B25107_001,830300,56813,2020
06081612002,"Census Tract 6120.02, San Mateo County, California",B25107_001,943300,173448,2020
06081612101,"Census Tract 6121.01, San Mateo County, California",B25107_001,2000001,NA,2020
06081612102,"Census Tract 6121.02, San Mateo County, California",B25107_001,769800,114622,2020
06081613900,"Census Tract 6139, San Mateo County, California",B25107_001,2000001,NA,2020
06081611700,"Census Tract 6117, San Mateo County, California",B25107_001,1010800,115906,2021
06081611800,"Census Tract 6118, San Mateo County, California",B25107_001,904200,32126,2021
06081611901,"Census Tract 6119.01, San Mateo County, California",B25107_001,1131800,139895,2021
06081611902,"Census Tract 6119.02, San Mateo County, California",B25107_001,1071900,82018,2021
06081612001,"Census Tract 6120.01, San Mateo County, California",B25107_001,860500,50545,2021
06081612002,"Census Tract 6120.02, San Mateo County, California",B25107_001,881700,53802,2021
06081612101,"Census Tract 6121.01, San Mateo County, California",B25107_001,1730500,672396,2021
06081612102,"Census Tract 6121.02, San Mateo County, California",B25107_001,884100,119850,2021
06081613900,"Census Tract 6139, San Mateo County, California",B25107_001,2000001,NA,2021
06081611700,Census Tract 6117; San Mateo County; California,B25107_001,1209000,99439,2022
06081611800,Census Tract 6118; San Mateo County; California,B25107_001,1030700,65735,2022
06081611901,Census Tract 6119.01; San Mateo County; California,B25107_001,1280200,337924,2022
06081611902,Census Tract 6119.02; San Mateo County; California,B25107_001,1286700,190659,2022
06081612001,Census Tract 6120.01; San Mateo County; California,B25107_001,923300,71113,2022
06081612002,Census Tract 6120.02; San Mateo County; California,B25107_001,1047500,97349,2022
06081612101,Census Tract 6121.01; San Mateo County; California,B25107_001,2000001,NA,2022
06081612102,Census Tract 6121.02; San Mateo County; California,B25107_001,967600,329844,2022
06081613900,Census Tract 6139; San Mateo County; California,B25107_001,2000001,NA,2022
