GEOID,NAME,variable,estimate,moe,year
06081611700,"Census Tract 6117, San Mateo County, California",B25003_002,631,90,2018
06081611800,"Census Tract 6118, San Mateo County, California",B25003_002,557,86,2018
06081611900,"Census Tract 6119, San Mateo County, California",B25003_002,1326,226,2018
06081612000,"Census Tract 6120, San Mateo County, California",B25003_002,827,115,2018
06081612100,"Census Tract 6121, San Mateo County, California",B25003_002,370,95,2018
06081613900,"Census Tract 6139, San Mateo County, California",B25003_002,1394,152,2018
06081611700,"Census Tract 6117, San Mateo County, California",B25003_002,656,102,2019
06081611800,"Census Tract 6118, San Mateo County, California",B25003_002,635,103,2019
06081611900,"Census Tract 6119, San Mateo County, California",B25003_002,1466,250,2019
06081612000,"Census Tract 6120, San Mateo County, California",B25003_002,836,143,2019
06081612100,"Census Tract 6121, San Mateo County, California",B25003_002,403,132,2019
06081613900,"Census Tract 6139, San Mateo County, California",B25003_002,1478,131,2019
06081611700,"Census Tract 6117, San Mateo County, California",B25003_002,724,168,2020
06081611800,"Census Tract 6118, San Mateo County, California",B25003_002,747,168,2020
06081611901,"Census Tract 6119.01, San Mateo County, California",B25003_002,660,193,2020
06081611902,"Census Tract 6119.02, San Mateo County, California",B25003_002,1353,362,2020
06081612001,"Census Tract 6120.01, San Mateo County, California",B25003_002,502,137,2020
06081612002,"Census Tract 6120.02, San Mateo County, California",B25003_002,410,116,2020
06081612101,"Census Tract 6121.01, San Mateo County, California",B25003_002,362,184,2020
06081612102,"Census Tract 6121.02, San Mateo County, California",B25003_002,116,82,2020
06081613900,"Census Tract 6139, San Mateo County, California",B25003_002,1537,170,2020
06081611700,"Census Tract 6117, San Mateo County, California",B25003_002,690,153,2021
06081611800,"Census Tract 6118, San Mateo County, California",B25003_002,810,157,2021
06081611901,"Census Tract 6119.01, San Mateo County, California",B25003_002,602,220,2021
06081611902,"Census Tract 6119.02, San Mateo County, California",B25003_002,1291,399,2021
06081612001,"Census Tract 6120.01, San Mateo County, California",B25003_002,652,162,2021
06081612002,"Census Tract 6120.02, San Mateo County, California",B25003_002,366,159,2021
06081612101,"Census Tract 6121.01, San Mateo County, California",B25003_002,330,150,2021
06081612102,"Census Tract 6121.02, San Mateo County, California",B25003_002,152,97,2021
06081613900,"Census Tract 6139, San Mateo County, California",B25003_002,1433,158,2021
06081611700,Census Tract 6117; San Mateo County; California,B25003_002,736,138,2022
06081611800,Census Tract 6118; San Mateo County; California,B25003_002,717,158,2022
06081611901,Census Tract 6119.01; San Mateo County; California,B25003_002,625,235,2022
06081611902,Census Tract 6119.02; San Mateo County; California,B25003_002,1307,413,2022
06081612001,Census Tract 6120.01; San Mateo County; California,B25003_002,654,183,2022
06081612002,Census Tract 6120.02; San Mateo County; California,B25003_002,298,126,2022
06081612101,Census Tract 6121.01; San Mateo County; California,B25003_002,369,177,2022
06081612102,Census Tract 6121.02; San Mateo County; California,B25003_002,173,144,2022
06081613900,Census Tract 6139; San Mateo County; California,B25003_002,1341,158,2022
