GEOID,NAME,variable,estimate,moe,year
06081611700,"Census Tract 6117, San Mateo County, California",B25003_003,798,120,2018
06081611800,"Census Tract 6118, San Mateo County, California",B25003_003,324,76,2018
06081611900,"Census Tract 6119, San Mateo County, California",B25003_003,1301,203,2018
06081612000,"Census Tract 6120, San Mateo County, California",B25003_003,698,122,2018
06081612100,"Census Tract 6121, San Mateo County, California",B25003_003,2400,207,2018
06081613900,"Census Tract 6139, San Mateo County, California",B25003_003,759,139,2018
06081611700,"Census Tract 6117, San Mateo County, California",B25003_003,795,137,2019
06081611800,"Census Tract 6118, San Mateo County, California",B25003_003,316,82,2019
06081611900,"Census Tract 6119, San Mateo County, California",B25003_003,1254,205,2019
06081612000,"Census Tract 6120, San Mateo County, California",B25003_003,754,136,2019
06081612100,"Census Tract 6121, San Mateo County, California",B25003_003,2421,251,2019
06081613900,"Census Tract 6139, San Mateo County, California",B25003_003,753,124,2019
06081611700,"Census Tract 6117, San Mateo County, California",B25003_003,788,194,2020
06081611800,"Census Tract 6118, San Mateo County, California",B25003_003,203,54,2020
06081611901,"Census Tract 6119.01, San Mateo County, California",B25003_003,391,141,2020
06081611902,"Census Tract 6119.02, San Mateo County, California",B25003_003,435,121,2020
06081612001,"Census Tract 6120.01, San Mateo County, California",B25003_003,311,109,2020
06081612002,"Census Tract 6120.02, San Mateo County, California",B25003_003,370,121,2020
06081612101,"Census Tract 6121.01, San Mateo County, California",B25003_003,1081,192,2020
06081612102,"Census Tract 6121.02, San Mateo County, California",B25003_003,1338,272,2020
06081613900,"Census Tract 6139, San Mateo County, California",B25003_003,695,159,2020
06081611700,"Census Tract 6117, San Mateo County, California",B25003_003,861,179,2021
06081611800,"Census Tract 6118, San Mateo County, California",B25003_003,268,84,2021
06081611901,"Census Tract 6119.01, San Mateo County, California",B25003_003,534,133,2021
06081611902,"Census Tract 6119.02, San Mateo County, California",B25003_003,525,177,2021
06081612001,"Census Tract 6120.01, San Mateo County, California",B25003_003,254,100,2021
06081612002,"Census Tract 6120.02, San Mateo County, California",B25003_003,399,165,2021
06081612101,"Census Tract 6121.01, San Mateo County, California",B25003_003,1072,225,2021
06081612102,"Census Tract 6121.02, San Mateo County, California",B25003_003,1321,226,2021
06081613900,"Census Tract 6139, San Mateo County, California",B25003_003,666,166,2021
06081611700,Census Tract 6117; San Mateo County; California,B25003_003,892,175,2022
06081611800,Census Tract 6118; San Mateo County; California,B25003_003,297,76,2022
06081611901,Census Tract 6119.01; San Mateo County; California,B25003_003,418,132,2022
06081611902,Census Tract 6119.02; San Mateo County; California,B25003_003,596,222,2022
06081612001,Census Tract 6120.01; San Mateo County; California,B25003_003,291,132,2022
06081612002,Census Tract 6120.02; San Mateo County; California,B25003_003,432,124,2022
06081612101,Census Tract 6121.01; San Mateo County; California,B25003_003,924,225,2022
06081612102,Census Tract 6121.02; San Mateo County; California,B25003_003,1366,256,2022
06081613900,Census Tract 6139; San Mateo County; California,B25003_003,672,153,2022
