SCHOOL,ACADEMIC_YEAR,ENR_TOTAL
Belle Haven Elementary,2014,1182
Belle Haven Elementary,2015,1154
Belle Haven Elementary,2016,1086
Belle Haven Elementary,2017,914
Belle Haven Elementary,2018,736
Belle Haven Elementary,2019,554
Belle Haven Elementary,2020,956
Belle Haven Elementary,2021,782
Belle Haven Elementary,2022,712
Brentwood Academy,2014,1064
Brentwood Academy,2015,1054
Brentwood Academy,2016,1018
Brentwood Academy,2017,882
Brentwood Academy,2018,772
Brentwood Academy,2019,658
Cesar Chavez Elementary,2014,366
Cesar Chavez Elementary,2015,336
Cesar Chavez Elementary,2016,370
Cesar Chavez Elementary,2017,234
Cesar Chavez Elementary,2018,242
Cesar Chavez Ravenswood Middle,2020,1108
Cesar Chavez Ravenswood Middle,2021,1062
Cesar Chavez Ravenswood Middle,2022,1030
Costano Elementary,2014,1128
Costano Elementary,2015,1116
Costano Elementary,2016,1018
Costano Elementary,2017,850
Costano Elementary,2018,716
Costano Elementary,2019,522
Costano Elementary,2020,950
Costano Elementary,2021,800
Costano Elementary,2022,696
Green Oaks Academy,2014,546
Green Oaks Academy,2015,362
Green Oaks Academy,2016,296
Green Oaks Academy,2017,70
KIPP Valiant Community Prep,2017,450
KIPP Valiant Community Prep,2018,794
KIPP Valiant Community Prep,2019,1120
KIPP Valiant Community Prep,2020,1260
KIPP Valiant Community Prep,2021,1332
KIPP Valiant Community Prep,2022,1238
Los Robles Magnet Academy,2014,760
Los Robles Magnet Academy,2015,784
Los Robles Magnet Academy,2016,770
Los Robles Magnet Academy,2017,626
Los Robles Magnet Academy,2018,514
Los Robles-Ronald McNair Academy,2019,450
Los Robles-Ronald McNair Academy,2020,412
Los Robles-Ronald McNair Academy,2021,396
Los Robles-Ronald McNair Academy,2022,496
Ravenswood Comprehensive Middle,2017,546
Ravenswood Comprehensive Middle,2018,948
Ravenswood Middle,2019,1318
Ronald McNair Academy,2014,446
Ronald McNair Academy,2015,388
Ronald McNair Academy,2016,380
Ronald McNair Academy,2017,228
Willow Oaks Elementary,2014,1410
Willow Oaks Elementary,2015,1376
Willow Oaks Elementary,2016,1204
Willow Oaks Elementary,2017,1016
Willow Oaks Elementary,2018,832
Willow Oaks Elementary,2019,594
