Object_Codes,Type_of_Revenue,Revenues_Unrestricted,Revenues_Restricted,Revenues_Total,Dollar_Per_Student_District_ADA,Dollar_Per_Student_Pct_Avg_Elementary,Dollar_Per_Student_State_Avg_Elem,Dollar_Per_Student_State_Avg_All,Year
8010-8099,LCFF Sources,"$27,059,248","$2,089,426","$29,148,674","$8,993",119%,"$7,585","$7,994",2014
8011-8019,State Aid/Principal Apportionment,"$22,966,707",$0,"$22,966,707","$7,085",134%,"$5,309","$5,511",2014
8021-8099,Local Property Taxes/Misc. Funds/LCFF Transfers,"$4,092,541","$2,089,426","$6,181,967","$1,907",84%,"$2,276","$2,483",2014
8100-8299,Federal Revenue,"$11,398","$2,871,518","$2,882,916",$889,156%,$571,$672,2014
8300-8599,Other State Revenue,"$772,628","$1,832,246","$2,604,874",$804,129%,$623,$941,2014
8600-8799,Other Local Revenue,"$1,710,484","$5,984,683","$7,695,167","$2,374",278%,$853,$681,2014
Total,Total,"$29,553,759","$12,777,873","$42,331,632","$13,060",136%,"$9,633","$10,288",2014
8010-8099,LCFF Sources,"$30,695,116","$2,133,720","$32,828,836","$10,581",122%,"$8,663","$9,079",2015
8011-8019,State Aid/Principal Apportionment,"$23,052,551",$0,"$23,052,551","$7,430",124%,"$6,003","$6,196",2015
8021-8099,Local Property Taxes/Misc. Funds/LCFF Transfers,"$7,642,565","$2,133,720","$9,776,285","$3,151",119%,"$2,660","$2,883",2015
8100-8299,Federal Revenue,"$120,321","$2,477,941","$2,598,262",$837,144%,$583,$678,2015
8300-8599,Other State Revenue,"$2,321,395","$3,134,427","$5,455,822","$1,758",133%,"$1,324","$1,603",2015
8600-8799,Other Local Revenue,"$1,213,118","$7,310,241","$8,523,358","$2,747",319%,$861,$691,2015
Total,Total,"$34,349,949","$15,056,329","$49,406,278","$15,924",139%,"$11,431","$12,050",2015
8010-8099,LCFF Sources,"$30,273,869","$2,200,743","$32,474,612","$11,187",122%,"$9,204","$9,615",2016
8011-8019,State Aid/Principal Apportionment,"$20,397,008",$0,"$20,397,008","$7,027",112%,"$6,278","$6,451",2016
